                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.03233,                      1,                      1,                 1.6897,              0.0053965,              0.0053965,              0.0053965
                     95,                0.02785,                      1,                      1,                 1.6897,               0.005347,               0.005347,               0.005347
                     96,                  0.025,                      1,                      1,                 1.6896,              0.0052975,              0.0052975,              0.0052975
                     97,                0.02526,                      1,                      1,                 1.6897,               0.005248,               0.005248,               0.005248
                     98,                0.02686,                      1,                      1,                 1.6896,              0.0051985,              0.0051985,              0.0051985
                     99,                0.02693,                      1,                      1,                 1.6896,               0.005149,               0.005149,               0.005149
                    100,                0.02178,                      1,                      1,                 1.6896,              0.0050995,              0.0050995,              0.0050995
                    101,                0.02318,                      1,                      1,                 1.6896,                0.00505,                0.00505,                0.00505
                    102,                0.02506,                      1,                      1,                 1.6896,              0.0050005,              0.0050005,              0.0050005
                    103,                0.02576,                      1,                      1,                 1.6896,               0.004951,               0.004951,               0.004951
                    104,                0.02268,                      1,                      1,                 1.6896,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.0245,                      1,                      1,                 1.6896,               0.004852,               0.004852,               0.004852
                    106,                 0.0245,                      1,                      1,                 1.6896,              0.0048025,              0.0048025,              0.0048025
                    107,                0.02483,                      1,                      1,                 1.6896,               0.004753,               0.004753,               0.004753
                    108,                0.01969,                      1,                      1,                 1.6896,              0.0047035,              0.0047035,              0.0047035
                    109,                0.02388,                      1,                      1,                 1.6896,               0.004654,               0.004654,               0.004654
                    110,                0.01802,                      1,                      1,                 1.6896,              0.0046045,              0.0046045,              0.0046045
                    111,                0.02068,                      1,                      1,                 1.6896,               0.004555,               0.004555,               0.004555
                    112,                0.01806,                      1,                      1,                 1.6896,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.0203,                      1,                      1,                 1.6896,               0.004456,               0.004456,               0.004456
